Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
SEBB4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-0,23","-0,23","9,24%","7,40%","2,44","24,15%","23,01%","0,00","145.783.000,00","0,01","50,04%"
SEBB3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-0,23","-0,23","9,24%","7,40%","2,44","24,15%","23,01%","0,00","145.783.000,00","0,01","50,04%"
SCLO4,"0,41","0,00","-3,00","0,000","0,00%","4,622","-2,23","0,00","-2,21","0,00","0,00","0,00%","0,00%","0,18","0,00%","0,00%","0,00","-131.192,00","-0,21","-73,91%"
SCLO3,"14,10","0,00","-103,18","0,000","0,00%","158,952","-76,71","0,00","-76,04","0,00","0,00","0,00%","0,00%","0,18","0,00%","0,00%","0,00","-131.192,00","-0,21","-73,91%"
SASG3,"0,98","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
SALM4,"5,90","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,10","1,10","10,22%","4,13%","1,31","25,78%","19,53%","0,00","475.600.000,00","0,80","24,53%"
FIGE3,"12,03","0,00","0,17","0,000","0,38%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","162.783.000,00","0,00","18,98%"
FIGE4,"38,01","0,00","0,55","0,000","0,13%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","162.783.000,00","0,00","18,98%"
GALO4,"0,25","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","13,98%","-184,58%","0,00","39,37%","7,62%","0,00","-60.607.000,00","0,00","-28,97%"
ECIS4,"145,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,53","1,53","34,90%","14,18%","1,38","12,48%","7,33%","0,00","129.346.000,00","0,38","4,66%"
BBTG13,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","66.611,10%","0,00","9.000,00","0,00","0,00%"
CBMA4,"0,01","0,00","0,00","0,000","0,00%","0,007","-0,42","0,00","0,00","0,00","0,00","0,00%","0,00%","0,61","0,00%","0,00%","0,00","-23.264.700.000,00","-0,90","-6,63%"
DUFB11,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
AESL4,"10.081,90","0,00","2,26","0,000","0,00%","0,632","-54,75","0,00","-1,20","0,00","0,00","0,00%","0,00%","0,94","0,00%","0,00%","0,00","5.030.750.000,00","1,55","14,26%"
AESL3,"10.081,90","0,00","2,26","0,000","0,00%","0,632","-54,75","0,00","-1,20","0,00","0,00","0,00%","0,00%","0,94","0,00%","0,00%","0,00","5.030.750.000,00","1,55","14,26%"
BPNM3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,92%","0,00","8.062.790.000,00","0,00","13,83%"
CCHI3,"0,02","0,00","-0,01","0,000","0,00%","0,077","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","-160.477.000,00","0,00","20,36%"
CCHI4,"0,02","0,00","-0,01","0,000","0,00%","0,077","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","-160.477.000,00","0,00","20,36%"
CBMA3,"0,01","0,00","0,00","0,000","0,00%","0,007","-0,42","0,00","0,00","0,00","0,00","0,00%","0,00%","0,61","0,00%","0,00%","0,00","-23.264.700.000,00","-0,90","-6,63%"
ALBA3,"2,15","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-1,27","-1,27","9,50%","9,62%","1,83","20,40%","19,77%","0,00","354.860.000,00","0,03","14,69%"
BRML3,"8,26","0,00","0,52","0,000","0,00%","0,328","-8,14","0,00","-1,12","0,00","0,00","0,00%","0,00%","0,65","0,00%","0,00%","0,00","13.096.000.000,00","0,20","6,51%"
CZRS3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","3,34%","0,00","1.145.670.000,00","0,00","14,44%"
DAYC3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,33%","0,00","3.009.030.000,00","0,00","8,15%"
BBTG11,"15,01","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
BERG3,"33,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-10,49","-10,49","-8,60%","-32,60%","0,46","-5,58%","-102,71%","0,00","9.538.000,00","2,86","-8,00%"
BSGR3,"1.091,28","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
CSPC4,"1,20","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,43","1,43","38,62%","18,85%","1,43","29,18%","45,33%","0,00","2.126.670.000,00","1,48","41,15%"
CSPC3,"1,24","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,43","1,43","38,62%","18,85%","1,43","29,18%","45,33%","0,00","2.126.670.000,00","1,48","41,15%"
BPAT33,"20,00","0,00","0,82","0,000","35,72%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","876.492.000,00","0,00","0,00%"
CEGR3,"68,00","0,00","12,16","0,000","2,21%","3,841","80,70","0,00","-9,15","0,00","0,00","0,00%","0,00%","1,22","0,00%","0,00%","0,00","1.452.400.000,00","0,86","12,40%"
CESP3,"25,55","0,00","1,12","0,000","0,00%","0,650","6,60","0,00","-2,29","0,00","0,00","0,00%","0,00%","3,77","0,00%","0,00%","0,00","7.977.010.000,00","0,32","13,91%"
CMMA4,"0,81","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,03","0,03","0,00%","0,00%","0,00","0,00%","-1,92%","0,00","-79.623.000,00","0,00","0,00%"
CESP4,"16,29","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","3,77","0,00%","0,00%","0,00","7.977.010.000,00","0,32","13,91%"
ABCB3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,41%","0,00","6.138.130.000,00","0,00","55,27%"
CESP5,"25,00","0,00","1,09","0,000","0,00%","0,636","6,45","0,00","-2,24","0,00","0,00","0,00%","0,00%","3,77","0,00%","0,00%","0,00","7.977.010.000,00","0,32","13,91%"
CESP6,"25,25","0,00","1,10","0,000","0,00%","0,642","6,52","0,00","-2,26","0,00","0,00","0,00%","0,00%","3,77","0,00%","0,00%","0,00","7.977.010.000,00","0,32","13,91%"
BMEF3,"11,00","0,00","4,16","0,000","0,00%","3,482","10,24","0,00","11,30","0,00","0,00","0,00%","0,00%","3,70","0,00%","0,00%","0,00","2.674.780.000,00","0,00","0,00%"
BOVH3,"15,71","0,00","6,16","0,000","0,00%","4,874","6,90","0,00","6,91","0,00","0,00","0,00%","0,00%","4,40","0,00%","0,00%","0,00","1.843.320.000,00","0,00","0,00%"
CLSC6,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","3.120.450.000,00","0,00","6,21%"
ECIS3,"211,65","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,53","1,53","34,90%","14,18%","1,38","12,48%","7,33%","0,00","129.346.000,00","0,38","4,66%"
ARPS3,"0,30","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-14,08","-14,08","-4,92%","-11,59%","0,91","-6,64%","20,34%","0,00","-12.690.000,00","-1,24","-17,53%"
AGEI3,"7,80","0,00","1,25","0,000","0,00%","0,470","1,39","0,00","-12,59","0,00","0,00","0,00%","0,00%","2,45","0,00%","0,00%","0,00","1.878.210.000,00","1,01","0,00%"
ARPS4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-14,08","-14,08","-4,92%","-11,59%","0,91","-6,64%","20,34%","0,00","-12.690.000,00","-1,24","-17,53%"
SCAR4,"10,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","2,26","2,06","39,28%","21,38%","2,38","16,38%","16,52%","0,00","1.695.040.000,00","0,87","33,29%"
TEFC11,"35,50","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,45","3,45","23,54%","14,18%","0,61","14,85%","46,72%","0,00","45.856.000.000,00","2,95","12,91%"
CAFE4,"0,50","0,00","0,00","0,071","0,00%","0,004","0,00","-0,13","0,00","-45,27","-53,49","-53,07%","2.163,80%","0,02","-2,81%","-64,17%","0,00","-377.387.000,00","-0,98","-11,30%"
MLPA12,"40,00","0,01","0,00","0,001","0,00%","0,002","0,00","0,01","0,00","-2,06","-2,06","6,66%","8,92%","0,00","0,00%","45,13%","0,00","44.578.000,00","0,00","-7,51%"
MLPA4,"45,00","0,01","0,00","0,001","0,00%","0,003","0,00","0,01","0,00","-2,06","-2,06","6,66%","8,92%","0,00","0,00%","45,13%","0,00","44.578.000,00","0,00","-7,51%"
OSAO4,"8,98","0,01","0,00","0,000","0,00%","0,000","0,00","-0,01","0,00","-34,40","6,06","-0,86%","1,09%","0,47","-1,40%","-2,40%","0,00","-439.298.000,00","-0,72","27,11%"
PDGR3,"0,18","0,01","0,00","0,150","0,00%","0,021","-0,02","-0,21","0,00","-2,84","-2,87","-72,10%","1.349,39%","0,42","-19,32%","-38,19%","632.821,00","-3.316.580.000,00","-0,07","-21,89%"
CAFE3,"2,00","0,02","-0,01","0,283","0,00%","0,015","-0,01","-0,53","-0,01","-45,67","-53,96","-53,07%","2.163,80%","0,02","-2,81%","-64,17%","0,00","-377.387.000,00","-0,98","-11,30%"
BSCT3,"4,05","0,04","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,05%","0,00","212.960.000,00","0,00","1,92%"
CORR3,"12,00","0,04","0,06","0,834","0,00%","0,017","0,03","-0,08","0,42","3,33","3,38","-1.057,66%","2.141,14%","4,25","-85,44%","152,84%","0,00","4.665.000,00","0,00","-42,09%"
BPHA3,"0,62","0,06","-0,24","-20,054","0,00%","0,995","-0,38","0,78","-0,20","1,60","1,43","-2.581,69%","-33.652,50%","0,06","401,01%","-402,50%","0,00","-292.294.000,00","-0,26","-53,39%"
IGBR5,"18,90","0,06","-0,04","3,248","0,00%","0,111","-0,11","-0,40","-0,03","-4,55","-4,76","-817,12%","5.379,32%","0,33","-57,99%","-60,10%","0,00","-650.957.000,00","-0,54","13,97%"
IGBR6,"19,00","0,06","-0,04","3,266","0,00%","0,112","-0,11","-0,40","-0,03","-4,55","-4,76","-817,12%","5.379,32%","0,33","-57,99%","-60,10%","0,00","-650.957.000,00","-0,54","13,97%"
PALF11,"125,00","0,07","0,04","0,007","0,00%","0,005","0,20","0,04","-0,01","2,69","2,37","20,95%","10,25%","1,09","17,13%","56,58%","0,00","2.718.530.000,00","3,82","9,26%"
SULT4,"0,43","0,08","0,01","0,027","0,00%","0,003","-0,01","0,47","0,00","0,53","0,52","5,79%","34,74%","0,25","0,58%","14,81%","0,00","449.686.000,00","0,00","15,83%"
BRSR4,"181,10","0,09","0,01","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,62%","0,00","9.798.830.000,00","0,00","4,70%"
LREN4,"105,00","0,09","0,01","0,007","0,00%","0,005","0,02","0,04","0,05","-0,32","-0,23","20,61%","7,76%","1,65","18,65%","10,58%","0,00","10.099.800.000,00","0,14","14,43%"
ATMP3,"2,26","0,10","0,14","0,196","0,00%","0,044","-2,15","-0,46","-0,10","-1,78","-9,18","-42,54%","201,27%","0,92","-10,27%","147,96%","18.500,80","419.542.000,00","0,57","-22,80%"
SULT3,"0,56","0,11","0,02","0,036","0,00%","0,004","-0,02","0,62","-0,01","0,67","0,66","5,79%","34,74%","0,25","0,58%","14,81%","0,00","449.686.000,00","0,00","15,83%"
CREM4,"48,00","0,11","0,01","0,002","0,00%","0,002","0,02","0,03","-0,02","3,55","2,09","8,05%","2,10%","1,29","11,36%","7,50%","0,00","189.701.000,00","1,58","-0,27%"
TPRC6,"105,00","0,13","0,01","0,015","0,00%","0,006","0,12","0,08","-0,03","0,00","0,00","19,44%","11,11%","1,34","9,67%","8,33%","0,00","22.847.800.000,00","0,14","2,29%"
PALF5,"236,60","0,14","0,08","0,014","0,00%","0,010","0,38","0,07","-0,02","2,73","2,40","20,95%","10,25%","1,09","17,13%","56,58%","0,00","2.718.530.000,00","3,82","9,26%"
SJOS4,"0,09","0,14","-0,01","31,154","0,00%","0,397","-0,01","-0,61","-0,01","-13,37","-13,37","-5.138,46%","22.189,70%","0,02","4,79%","-4,78%","0,00","-181.025.000,00","-0,15","-73,31%"
TPRC3,"113,50","0,14","0,01","0,016","0,00%","0,007","0,13","0,08","-0,03","0,01","0,00","19,44%","11,11%","1,34","9,67%","8,33%","0,00","22.847.800.000,00","0,14","2,29%"
PALF3,"279,90","0,16","0,09","0,016","0,00%","0,011","0,45","0,08","-0,02","2,74","2,41","20,95%","10,25%","1,09","17,13%","56,58%","0,00","2.718.530.000,00","3,82","9,26%"
INEP4,"1,79","0,16","-0,07","11,206","0,00%","0,069","-0,08","-1,14","-0,04","-14,04","-15,75","-978,95%","6.924,44%","0,09","-6,37%","-41,29%","110.687,00","-1.182.760.000,00","-0,76","-4,42%"
INEP3,"2,01","0,18","-0,08","12,583","0,00%","0,077","-0,09","-1,29","-0,04","-14,18","-15,91","-978,95%","6.924,44%","0,09","-6,37%","-41,29%","189.758,00","-1.182.760.000,00","-0,76","-4,42%"
BDLL4,"9,80","0,19","-0,08","0,745","0,00%","0,028","-0,07","-0,42","-0,03","-4,92","-5,21","-175,84%","389,28%","0,55","-7,15%","-39,61%","2.945,63","-206.703.000,00","-0,94","-6,88%"
GOLL4,"1,02","0,22","-0,02","0,023","0,00%","0,022","-0,03","0,18","-0,01","5,29","3,10","12,99%","10,48%","0,32","15,92%","-10,06%","9.954.190,00","-19.348.000.000,00","-0,73","20,37%"
SLED4,"1,60","0,22","-0,04","0,207","0,00%","0,239","-0,10","-0,22","-0,04","-0,74","-0,90","-93,81%","92,72%","0,12","-2.259,94%","-18,07%","0,00","-381.277.000,00","-0,09","-48,69%"
BDLL3,"13,01","0,25","-0,10","0,990","0,00%","0,037","-0,10","-0,56","-0,04","-5,05","-5,36","-175,84%","389,28%","0,55","-7,15%","-39,61%","264,33","-206.703.000,00","-0,94","-6,88%"
CORR4,"82,00","0,27","0,41","5,701","0,00%","0,118","0,20","-0,54","2,84","2,87","2,91","-1.057,66%","2.141,14%","4,25","-85,44%","152,84%","0,00","4.665.000,00","0,00","-42,09%"
ASSM4,"6,10","0,29","-0,15","-8,357","0,00%","0,133","-0,20","0,40","-0,08","1,88","1,88","-2.084,39%","-2.915,61%","0,21","35,38%","-50,73%","0,00","-9.943.000,00","-0,56","-8,79%"
GAZO4,"2,32","0,31","-0,03","-1,411","0,00%","0,205","-0,46","0,86","-0,03","1,03","1,03","-164,00%","-454,48%","0,35","25,06%","-10,61%","0,00","-102.667.000,00","-0,01","-28,21%"
ASSM3,"7,12","0,33","-0,17","-9,754","0,00%","0,155","-0,23","0,47","-0,09","1,95","1,95","-2.084,39%","-2.915,61%","0,21","35,38%","-50,73%","0,00","-9.943.000,00","-0,56","-8,79%"
BELG4,"1.370,00","0,36","0,07","0,062","0,00%","0,044","0,29","0,23","2,59","0,40","0,40","27,70%","19,46%","1,97","22,04%","18,59%","0,00","13.495.400.000,00","0,17","48,47%"
BELG3,"1.375,50","0,36","0,07","0,063","0,00%","0,044","0,29","0,23","2,60","0,41","0,41","27,70%","19,46%","1,97","22,04%","18,59%","0,00","13.495.400.000,00","0,17","48,47%"
RSID3,"5,30","0,38","-0,12","2,330","0,00%","0,195","-0,20","-3,30","-0,09","-12,47","-12,68","-70,66%","614,03%","0,37","-6,37%","-31,75%","436.964,00","-878.136.000,00","-0,37","-8,82%"
AGEN33,"0,16","0,39","-0,03","0,000","0,00%","0,066","-0,17","0,11","-0,02","3,73","3,61","0,00%","0,00%","0,09","87,67%","-8,85%","0,00","-1.112.630.000,00","-1,11","-87,03%"
TRPN3,"0,71","0,44","0,54","0,263","104,74%","0,399","0,59","0,36","0,59","-0,35","-0,35","72,28%","59,29%","3,61","523,01%","122,35%","0,00","59.358.000,00","0,00","5,77%"
SLED3,"3,21","0,45","-0,08","0,416","0,00%","0,480","-0,20","-0,44","-0,07","-0,96","-1,18","-93,81%","92,72%","0,12","-2.259,94%","-18,07%","0,00","-381.277.000,00","-0,09","-48,69%"
GAZO3,"3,40","0,45","-0,05","-2,068","0,00%","0,301","-0,67","1,26","-0,04","1,43","1,43","-164,00%","-454,48%","0,35","25,06%","-10,61%","0,00","-102.667.000,00","-0,01","-28,21%"
FCAP3,"0,62","0,52","0,11","0,000","0,00%","0,089","0,00","-6,18","0,00","-15,27","-15,27","0,00%","0,00%","0,00","0,00%","21,83%","0,00","107.134.000,00","0,00","0,00%"
IGBR3,"175,99","0,56","-0,34","30,247","0,00%","1,035","-0,99","-3,70","-0,29","-7,85","-8,21","-817,12%","5.379,32%","0,33","-57,99%","-60,10%","10.393,30","-650.957.000,00","-0,54","13,97%"
FCAP4,"0,70","0,58","0,13","0,000","0,00%","0,100","0,00","-6,98","0,00","-16,07","-16,07","0,00%","0,00%","0,00","0,00%","21,83%","0,00","107.134.000,00","0,00","0,00%"
TARP11,"18,02","0,82","0,25","26,009","0,00%","0,245","0,00","197,74","0,00","195,29","195,29","13,15%","3.170,05%","0,00","0,00%","29,89%","0,00","678.212.000,00","0,00","-71,36%"
HOOT4,"2,61","0,95","-0,37","0,324","0,00%","0,092","-0,28","1,76","-0,08","1,10","0,79","18,39%","34,13%","0,31","5,59%","-39,20%","6.748,53","-128.896.000,00","-0,01","31,90%"
BNBR4,"27,01","1,11","0,21","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,55%","0,00","11.299.100.000,00","0,00","14,35%"
LUPA3,"1,55","1,16","0,42","0,644","0,00%","0,131","1,53","-4,47","-0,36","-14,35","-63,90","-14,41%","55,40%","1,36","-3,13%","35,85%","512.673,00","154.345.000,00","1,02","58,15%"
TSPP4,"9,05","1,24","0,37","0,188","0,00%","0,162","-4,02","0,85","-0,65","1,30","1,30","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
HBTS5,"36,20","1,26","0,49","1,042","8,40%","0,207","4,05","1,94","-0,48","3,16","3,14","53,62%","82,49%","1,59","10,95%","38,57%","3.452,51","678.756.000,00","0,36","107,50%"
EBEN4,"17,51","1,34","0,54","0,113","0,00%","0,091","-0,65","0,58","-0,16","3,55","2,99","19,47%","8,47%","0,65","17,73%","40,38%","0,00","1.268.400.000,00","3,02","8,19%"
APTI4,"3.500,00","1,36","0,27","2,109","0,00%","0,135","0,37","87,50","-1,84","55,63","17,79","2,41%","155,30%","8,39","0,18%","19,51%","0,00","250.812.000,00","0,22","7,06%"
AHEB5,"19,20","1,54","1,44","0,258","0,00%","0,320","0,98","1,19","-1,75","0,40","0,38","21,63%","16,68%","2,20","40,02%","93,37%","178,70","113.775.000,00","0,03","44,82%"
AHEB6,"20,00","1,61","1,50","0,268","0,00%","0,333","1,02","1,24","-1,82","0,45","0,43","21,63%","16,68%","2,20","40,02%","93,37%","0,00","113.775.000,00","0,03","44,82%"
TSPP3,"12,60","1,72","0,51","0,262","0,00%","0,225","-5,59","1,19","-0,91","1,63","1,63","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
SJOS3,"1,19","1,86","-0,09","411,923","0,00%","5,248","-0,09","-8,02","-0,09","-20,78","-20,78","-5.138,46%","22.189,70%","0,02","4,79%","-4,78%","0,00","-181.025.000,00","-0,15","-73,31%"
TXRX4,"2,27","1,87","-0,03","0,086","0,00%","0,051","-0,05","-0,51","-0,02","-16,46","-18,88","-16,64%","4,58%","0,30","-10,32%","-1,58%","7.780,14","-328.381.000,00","-0,91","10,42%"
PLIM4,"0,59","1,89","0,03","0,020","0,00%","0,016","-0,51","0,17","-0,05","1,50","0,65","11,93%","1,55%","0,80","10,95%","1,72%","0,00","6.812.390.000,00","0,28","66,63%"
CPFG4,"12,26","1,90","0,50","0,437","0,00%","0,134","-0,75","0,71","-0,35","0,99","0,77","61,29%","36,61%","0,44","20,53%","26,08%","0,00","4.487.640.000,00","0,46","14,31%"
CPFG3,"12,65","1,96","0,51","0,451","0,00%","0,138","-0,78","0,74","-0,36","1,01","0,79","61,29%","36,61%","0,44","20,53%","26,08%","0,00","4.487.640.000,00","0,46","14,31%"
VVEO3,"2,03","2,01","0,20","0,058","6,73%","0,059","0,17","1,27","-0,69","6,15","4,02","4,59%","2,90%","2,32","6,68%","9,92%","7.434.050,00","3.286.280.000,00","1,30","30,18%"
TBLE6,"10,65","2,05","0,81","0,832","0,00%","0,191","2,99","1,64","-0,35","4,66","3,95","50,67%","40,52%","1,51","13,51%","39,26%","0,00","10.778.800.000,00","1,97","-0,19%"
TPIS3,"3,68","2,09","0,18","0,144","0,00%","0,058","-0,53","0,92","-0,09","9,04","4,50","15,62%","6,97%","0,36","6,62%","8,57%","218.273,00","902.530.000,00","1,63","3,66%"
AHEB3,"27,50","2,21","2,07","0,369","0,00%","0,458","1,41","1,71","-2,50","0,91","0,87","21,63%","16,68%","2,20","40,02%","93,37%","1.184,00","113.775.000,00","0,03","44,82%"
TBLE5,"12,00","2,31","0,91","0,938","0,00%","0,215","3,37","1,85","-0,39","4,87","4,13","50,67%","40,52%","1,51","13,51%","39,26%","0,00","10.778.800.000,00","1,97","-0,19%"
ATOM3,"1,95","2,40","1,18","2,021","0,00%","0,878","2,63","-96,71","5,01","-79,30","-453,16","-2,09%","86,62%","7,10","-1,09%","49,23%","33.236,30","39.312.000,00","0,00","11,77%"
CTKA4,"17,00","2,41","-1,04","0,160","0,00%","0,165","0,60","2,14","-0,36","10,82","7,84","7,51%","6,65%","1,66","9,93%","-43,04%","3.608,26","-101.578.000,00","-4,80","18,58%"
SHOW3,"1,52","2,43","0,58","0,208","0,00%","0,238","2,76","1,70","-2,67","1,06","0,98","12,29%","8,34%","1,21","24,05%","23,80%","396.090,00","177.435.000,00","0,32","58,51%"
CTPC4,"6,50","2,48","0,03","0,000","0,00%","0,003","0,00","-0,55","0,00","-2,44","-2,44","0,00%","0,00%","0,00","0,00%","1,41%","0,00","2.411.000,00","0,00","-6,10%"
SUZB6,"17,88","2,57","0,52","0,615","0,00%","0,163","0,99","2,76","-0,37","9,87","5,21","22,27%","23,94%","2,89","7,07%","20,33%","0,00","44.603.800.000,00","1,77","11,85%"
CLSC5,"39,01","2,64","0,48","0,145","0,00%","0,121","-11,41","1,60","-0,26","4,04","3,00","9,06%","5,49%","0,96","8,87%","18,30%","0,00","3.120.450.000,00","1,02","6,21%"
MNPR4,"4,63","2,69","-0,10","0,090","0,00%","0,097","-0,09","0,62","-0,07","0,62","0,51","14,50%","3,35%","0,34","16,53%","-3,88%","0,00","-315.013.000,00","0,00","12,53%"
CTKA3,"19,01","2,70","-1,16","0,179","0,00%","0,185","0,67","2,39","-0,40","11,07","8,03","7,51%","6,65%","1,66","9,93%","-43,04%","690,35","-101.578.000,00","-4,80","18,58%"
BOBR3,"1,00","2,71","-6,43","0,182","0,00%","0,308","-4,51","1,22","-0,57","2,52","2,24","14,98%","6,74%","0,88","35,09%","-237,60%","0,00","-40.517.000,00","-8,07","9,47%"
ESCE3,"172,00","2,85","0,57","0,197","0,00%","0,135","-4,34","1,04","-0,25","4,00","3,30","18,98%","6,90%","0,88","14,68%","20,02%","0,00","1.771.250.000,00","1,83","8,73%"
CEDO4,"23,22","2,91","1,09","0,220","0,00%","0,266","1,96","1,07","-1,10","2,69","2,43","20,44%","7,79%","1,36","27,48%","37,29%","22.273,00","213.854.000,00","1,68","15,31%"
SUZB5,"21,13","3,04","0,62","0,726","0,00%","0,192","1,17","3,26","-0,44","10,37","5,48","22,27%","23,94%","2,89","7,07%","20,33%","0,00","44.603.800.000,00","1,77","11,85%"
MARI3,"2,93","3,04","0,76","0,346","0,00%","0,384","0,95","4,99","1,65","4,89","4,89","6,94%","11,37%","2,23","10,67%","25,13%","0,00","706.711.000,00","0,32","11,89%"
ELPL4,"15,98","3,13","1,02","0,164","0,00%","0,111","-1,50","0,96","-0,17","3,17","2,46","17,11%","5,26%","0,76","12,72%","32,66%","0,00","3.091.000.000,00","2,43","6,98%"
CYRE4,"8,50","3,25","0,43","0,519","0,00%","0,195","0,52","3,43","3,41","5,81","5,49","15,16%","18,79%","3,14","6,75%","13,10%","0,00","7.985.750.000,00","0,61","14,42%"
REDE4,"2,90","3,29","1,50","0,364","0,00%","0,216","5,73","1,34","-0,43","3,49","2,97","27,25%","15,28%","1,15","18,90%","45,71%","0,00","4.069.810.000,00","3,12","11,22%"
CEDO3,"26,78","3,36","1,25","0,253","0,00%","0,307","2,26","1,24","-1,27","2,86","2,58","20,44%","7,79%","1,36","27,48%","37,29%","8.812,93","213.854.000,00","1,68","15,31%"
EUCA4,"14,73","3,42","0,55","0,517","6,25%","0,328","2,02","3,60","-6,51","5,16","3,10","14,37%","15,10%","1,83","9,95%","16,18%","1.345.890,00","2.463.670.000,00","0,30","14,57%"
ETER3,"5,89","3,45","0,47","0,331","7,15%","0,284","1,19","7,20","6,44","9,46","5,21","4,60%","9,59%","2,16","4,22%","13,69%","1.322.330,00","769.884.000,00","0,17","22,63%"
EUCA3,"15,20","3,53","0,57","0,533","5,50%","0,338","2,08","3,71","-6,72","5,28","3,17","14,37%","15,10%","1,83","9,95%","16,18%","5.403,19","2.463.670.000,00","0,30","14,57%"
CAMB4,"6,25","3,66","1,05","0,580","0,00%","0,722","2,66","2,62","4,06","2,34","2,09","22,18%","15,87%","2,27","32,95%","28,58%","0,00","252.806.000,00","0,04","30,48%"
PTPA3,"76,50","3,69","1,14","0,505","0,00%","0,375","2,28","3,63","-1,27","7,06","5,33","13,93%","13,69%","1,79","13,27%","30,85%","0,00","1.201.690.000,00","1,59","18,08%"
HAGA4,"1,19","3,79","-0,27","0,512","0,00%","0,224","0,46","-8,03","-0,23","5,55","16,60","-6,38%","13,51%","2,24","-10,28%","-7,09%","17.154,80","-52.754.200,00","-0,39","1,40%"
BAZA3,"85,76","3,80","0,79","0,000","7,70%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","20,69%","293.925,00","6.113.980.000,00","0,00","20,71%"
MTBR3,"0,99","3,84","0,66","0,128","0,00%","0,166","5,73","1,83","-2,86","1,23","1,02","7,02%","3,36%","1,04","23,08%","17,31%","0,00","2.239.720.000,00","0,60","8,48%"
