Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
DOCA4,"5,00","-0,18","-0,01","-1,393","0,00%","0,014","-0,15","-0,12","-0,01","-6,71","-6,62","1.165,92%","636,17%","0,61","-12,48%","8,24%","0,00","-390.317.000,00","-0,82","-38,80%"
VVAR11,"14,58","-0,18","0,14","0,017","0,00%","0,015","-0,09","0,65","-0,03","10,52","4,09","2,55%","-9,30%","0,71","3,15%","-80,86%","0,00","3.202.000.000,00","2,77","1,89%"
VVAR4,"4,84","-0,18","0,14","0,017","0,00%","0,015","-0,09","0,65","-0,03","10,52","4,09","2,55%","-9,30%","0,71","3,15%","-80,86%","0,00","3.202.000.000,00","2,77","1,89%"
DUQE4,"2,95","-0,17","-1,19","1,275","0,00%","0,045","-0,08","-0,17","-0,06","-1,23","-1,35","-732,92%","-767,60%","0,33","-28,21%","715,74%","0,00","-6.987.000,00","-7,19","-42,70%"
RPMG3,"2,36","-0,16","-0,03","0,032","0,00%","0,027","-0,03","-0,14","-0,03","-0,14","-0,14","-22,83%","-19,42%","0,53","-19,69%","17,90%","168.879,00","-5.469.070.000,00","0,00","50,67%"
TEKA3,"50,00","-0,16","-0,01","0,085","0,00%","0,021","-0,01","4,77","-0,01","110,61","59,76","1,77%","-52,04%","0,04","0,72%","7,35%","116,28","-2.108.200.000,00","-0,26","22,63%"
FTRX3,"0,13","-0,15","-0,02","0,206","0,00%","0,023","-0,04","-0,19","-0,01","-1,77","-2,27","-106,22%","-138,83%","0,06","-11,99%","13,50%","0,00","-154.535.000,00","-0,16","-31,25%"
FTRX4,"0,11","-0,13","-0,02","0,174","0,00%","0,019","-0,03","-0,16","-0,01","-1,74","-2,24","-106,22%","-138,83%","0,06","-11,99%","13,50%","0,00","-154.535.000,00","-0,16","-31,25%"
SEQL3,"5,15","-0,13","0,88","0,139","0,00%","0,066","-0,23","-0,16","-0,09","-1,24","-1,62","-85,87%","-110,40%","0,42","-45,98%","-699,37%","2.021.340,00","117.566.000,00","6,10","13,69%"
OIBR4,"12,60","-0,12","-0,03","0,089","0,00%","0,032","-0,10","-0,23","-0,02","-7,32","-12,43","-38,15%","-74,07%","0,48","-19,07%","23,09%","97.613,30","-30.105.000.000,00","-0,91","-9,95%"
TEKA4,"30,90","-0,10","-0,01","0,052","0,00%","0,013","-0,01","2,95","0,00","108,79","58,78","1,77%","-52,04%","0,04","0,72%","7,35%","2.585,49","-2.108.200.000,00","-0,26","22,63%"
FBMC4,"1,96","-0,09","-0,02","0,095","0,00%","0,034","-0,04","-0,07","-0,02","-0,53","-0,59","-135,59%","-101,97%","0,31","-64,70%","24,19%","0,00","-63.552.000,00","-0,15","-31,66%"
PMAM3,"2,39","-0,09","-0,03","0,223","0,00%","0,077","-0,04","-0,32","-0,02","-9,34","-12,05","-70,57%","-252,38%","0,09","-33,57%","34,21%","132.180,00","-4.484.050.000,00","-0,87","-40,47%"
MEND6,"9,50","-0,07","-0,01","62,260","0,00%","0,104","-0,03","-0,10","-0,01","-13,27","-13,28","-62.675,70%","-88.229,00%","0,00","-104,98%","8,51%","0,00","-16.317.700.000,00","-0,80","1,29%"
TENE7,"9,80","-0,07","-0,01","43,919","0,00%","0,113","-2,54","-1,42","-0,01","-1,42","-3,57","-3.088,89%","-64.451,80%","0,00","-8,17%","13,77%","0,00","-126.362.000,00","0,00","0,00%"
VPTA4,"10,50","-0,07","-0,01","0,260","0,00%","0,054","-0,02","-0,13","-0,01","-6,89","-6,89","-193,57%","-396,38%","0,23","-45,00%","10,11%","0,00","-867.658.000,00","-0,34","-58,91%"
